what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.core,3.18.0.v20151009-2340,"org.eclipse.mylyn.bugzilla.core",1511192584438
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.18.0.v20151009-2340,"org.eclipse.mylyn.bugzilla.ui",1511192584438
started,bundle,org.eclipse.mylyn.commons.core,3.18.0.v20151019-2227,"org.eclipse.mylyn.commons.core",1511192584438
started,bundle,org.eclipse.mylyn.commons.net,3.18.0.v20151009-1724,"org.eclipse.mylyn.commons.net",1511192584438
started,bundle,org.eclipse.mylyn.commons.notifications.core,1.10.0.v20151009-1724,"org.eclipse.mylyn.commons.notifications.core",1511192584438
started,bundle,org.eclipse.mylyn.commons.notifications.feed,1.10.0.v20151009-1724,"org.eclipse.mylyn.commons.notifications.feed",1511192584438
started,bundle,org.eclipse.mylyn.commons.repositories.ui,1.10.0.v20151116-1930,"org.eclipse.mylyn.commons.repositories.ui",1511192584451
started,bundle,org.eclipse.mylyn.commons.ui,3.18.0.v20151116-1930,"org.eclipse.mylyn.commons.ui",1511192584452
started,bundle,org.eclipse.mylyn.commons.workbench,3.18.0.v20151102-1813,"org.eclipse.mylyn.commons.workbench",1511192584453
started,bundle,org.eclipse.mylyn.context.core,3.18.0.v20151013-1847,"org.eclipse.mylyn.context.core",1511192584454
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.18.0.v20151013-1847,"org.eclipse.mylyn.context.tasks.ui",1511192584455
started,bundle,org.eclipse.mylyn.monitor.ui,3.18.0.v20151009-1724,"org.eclipse.mylyn.monitor.ui",1511192584455
started,bundle,org.eclipse.mylyn.tasks.ui,3.18.0.v20151211-2235,"org.eclipse.mylyn.tasks.ui",1511192584457
started,bundle,org.eclipse.oomph.base,1.3.0.v20160213-0953,"org.eclipse.oomph.base",1511192584458
started,bundle,org.eclipse.oomph.base.edit,1.3.0.v20160213-0953,"org.eclipse.oomph.base.edit",1511192584459
started,bundle,org.eclipse.oomph.jreinfo.ui,1.3.0.v20160213-0953,"org.eclipse.oomph.jreinfo.ui",1511192584460
started,bundle,org.eclipse.oomph.p2,1.3.0.v20160213-0953,"org.eclipse.oomph.p2",1511192584461
started,bundle,org.eclipse.oomph.p2.core,1.3.0.v20160213-0953,"org.eclipse.oomph.p2.core",1511192584462
started,bundle,org.eclipse.oomph.p2.edit,1.3.0.v20160213-0953,"org.eclipse.oomph.p2.edit",1511192584463
started,bundle,org.eclipse.oomph.p2.ui,1.3.0.v20160213-0953,"org.eclipse.oomph.p2.ui",1511192584464
started,bundle,org.eclipse.oomph.setup,1.3.0.v20160213-0953,"org.eclipse.oomph.setup",1511192584465
started,bundle,org.eclipse.oomph.setup.core,1.3.0.v20160213-0953,"org.eclipse.oomph.setup.core",1511192584466
started,bundle,org.eclipse.oomph.setup.edit,1.3.0.v20160213-0953,"org.eclipse.oomph.setup.edit",1511192584467
started,bundle,org.eclipse.oomph.setup.p2.edit,1.3.0.v20160213-0953,"org.eclipse.oomph.setup.p2.edit",1511192584468
started,bundle,org.eclipse.oomph.setup.sync,1.3.0.v20160213-0953,"org.eclipse.oomph.setup.sync",1511192584468
started,bundle,org.eclipse.oomph.setup.ui,1.3.0.v20160213-0953,"org.eclipse.oomph.setup.ui",1511192584469
started,bundle,org.eclipse.oomph.ui,1.3.0.v20160213-0953,"org.eclipse.oomph.ui",1511192584470
started,bundle,org.eclipse.oomph.util,1.3.0.v20160213-0953,"org.eclipse.oomph.util",1511192584471
started,bundle,org.eclipse.pde.core,3.10.102.v20160128-0556,"org.eclipse.pde.core",1511192584472
started,bundle,org.eclipse.pde.launching,3.6.301.v20160128-0556,"org.eclipse.pde.launching",1511192584473
started,bundle,org.eclipse.pde.ui,3.8.202.v20160128-0556,"org.eclipse.pde.ui",1511192584476
started,bundle,org.eclipse.rse.connectorservice.local,2.1.400.201403100950,"org.eclipse.rse.connectorservice.local",1511192584477
started,bundle,org.eclipse.rse.core,3.3.100.201407181907,"org.eclipse.rse.core",1511192584478
started,bundle,org.eclipse.rse.files.ui,3.2.200.201502052140,"org.eclipse.rse.files.ui",1511192584479
started,bundle,org.eclipse.rse.services,3.3.0.201403100950,"org.eclipse.rse.services",1511192584480
started,bundle,org.eclipse.rse.services.local,2.2.0.201502030655,"org.eclipse.rse.services.local",1511192584481
started,bundle,org.eclipse.rse.subsystems.files.core,3.3.1.201403100950,"org.eclipse.rse.subsystems.files.core",1511192584482
started,bundle,org.eclipse.rse.subsystems.files.local,2.1.300.201403251512,"org.eclipse.rse.subsystems.files.local",1511192584482
